cycle,ambient_temperature,capacity,voltage_measured,current_measured,temperature_measured,current_load,voltage_load,time,RUL
1.0,29.4,2370.705,2.503541,4.06633,28.0,3.726562,2.498168,124.0,112.26089400028222
1.0,29.4,2368.5,2.503541,3.970499,28.0,3.835462,2.499243,126.0,112.25647896740186
1.0,29.4,2366.369,2.508913,3.835462,28.0,4.08811,2.499243,128.0,112.2368890864096
1.0,29.4,2364.105,2.527179,4.075042,28.0,4.170875,2.519658,130.0,112.2003042526908
1.0,29.4,2361.875,2.50569,4.014058,28.0,4.114246,2.499243,132.0,112.25028768784946
1.0,29.4,2359.616,2.502466,4.06633,28.0,4.671815,2.494945,134.0,112.25559449889438
1.0,29.4,2357.354,2.521807,4.070686,28.0,4.018414,2.463785,136.0,112.21492356686414
1.0,29.4,2355.03,2.523956,4.183942,28.0,4.02277,2.513211,138.0,112.21329351333382
1.0,29.4,2352.81,2.513211,3.996634,28.0,4.114246,2.503541,140.0,112.23124603113868
1.0,29.4,2350.558,2.521807,4.053262,28.0,3.791903,2.508913,142.0,112.21532559800391
1.0,29.4,2348.313,2.502466,4.040194,28.0,3.979211,2.489573,144.0,112.26022151183024
1.0,29.4,2346.028,2.511062,4.114246,28.0,4.114246,2.470232,146.0,112.2412090937478
1.0,29.4,2343.776,2.504615,4.053262,28.0,4.06633,2.491722,148.0,112.2546003855306
1.0,29.4,2341.488,2.514286,4.118602,28.0,4.114246,2.504615,150.0,112.23295649089695
1.0,29.4,2339.238,2.508913,4.048906,28.0,4.040194,2.50569,152.0,112.24388442824151
1.0,29.4,2336.984,2.518584,4.057618,28.0,4.166519,2.509988,154.0,112.21979910814096
1.0,29.4,2334.928,2.497094,3.700426,28.0,4.08811,2.498168,156.0,112.2616103466767
1.0,29.4,2332.606,2.520733,4.179586,28.0,4.083754,2.509988,158.0,112.2199964688823
1.0,29.4,2330.32,2.512137,4.114246,28.0,4.075042,2.492796,160.0,112.23834370816984
1.0,29.4,2328.049,2.500317,4.08811,28.0,3.93565,2.492796,162.0,112.2673191888614
1.0,29.4,2325.747,2.506764,4.144739,28.0,4.005346,2.49602,164.0,112.2530141899428
1.0,29.4,2323.463,2.533626,4.10989,28.0,4.061974,2.494945,166.0,112.18729306307654
1.0,29.4,2321.177,2.529329,4.114246,28.0,4.031482,2.532552,168.0,112.1970660746014
1.0,29.4,2318.894,2.511062,4.10989,28.0,4.057618,2.501392,170.0,112.24060239220962
1.0,29.4,2316.64,2.499243,4.057618,28.0,4.127314,2.49387,172.0,112.26701949292084
1.0,29.4,2314.34,2.502466,4.140383,28.0,4.070686,2.520733,174.0,112.26221704821492
1.0,29.4,2312.042,2.500317,4.136027,28.0,4.08811,2.477753,176.0,112.26789665177124
1.0,29.4,2309.756,2.530403,4.114246,28.0,4.188299,2.523956,178.0,112.19325774325924
1.0,29.4,2307.47,2.498168,4.114246,28.0,4.140383,2.492796,180.0,112.2715953382571
1.0,29.4,2305.185,2.51536,4.114246,28.0,4.096822,2.503541,182.0,112.22985719629222
1.0,29.4,2302.933,2.50569,4.053262,28.0,3.687358,2.49387,184.0,112.25462231450186
1.0,29.4,2300.613,2.504615,4.175231,28.0,3.948717,2.49602,186.0,112.25962942960622
1.0,29.4,2298.361,2.503541,4.053262,28.0,4.035838,2.520733,188.0,112.2563547032314
1.0,29.4,2296.141,2.511062,3.996634,28.0,4.092466,2.500317,190.0,112.23587304407454
1.0,29.4,2293.877,2.494945,4.075042,28.0,4.040194,2.490647,192.0,112.27880266014456
1.0,29.4,2291.618,2.49602,4.06633,28.0,3.69607,2.487424,194.0,112.2788245891158
1.0,29.4,2289.354,2.506764,4.075042,28.0,3.974854,2.492796,196.0,112.2501488043648
1.0,29.4,2287.114,2.516435,4.031482,28.0,4.175231,2.49387,198.0,112.22348317531264
1.0,29.4,2284.79,2.533626,4.183942,28.0,4.105534,2.506764,200.0,112.18909854837696
1.0,29.4,2282.579,2.498168,3.979211,28.0,4.040194,2.494945,202.0,112.26712182812004
1.0,29.4,2280.291,2.516435,4.118602,28.0,3.778833,2.483126,204.0,112.23016420188983
1.0,29.4,2278.274,2.502466,3.63073,28.0,4.06633,2.491722,206.0,112.24607001571044
1.0,29.4,2276.01,2.517509,4.075042,28.0,4.02277,2.500317,208.0,112.2235051042839
1.0,29.4,2273.693,2.476679,4.170875,28.0,4.092466,2.497094,210.0,112.32795279439532
1.0,29.4,2271.456,2.500317,4.027126,28.0,3.883378,2.507839,212.0,112.26444649362634
1.0,29.4,2269.206,2.511062,4.048906,28.0,4.048906,2.475604,214.0,112.23813172811433
1.0,29.4,2266.959,2.500317,4.04455,28.0,3.987922,2.49602,216.0,112.26432953911296
1.0,29.4,2264.753,2.494945,3.970499,28.0,3.874666,2.49387,218.0,112.2759811325091
1.0,29.4,2262.482,2.498168,4.08811,28.0,4.053262,2.492796,220.0,112.27069625043544
1.0,29.4,2260.192,2.49602,4.122958,28.0,4.253638,2.49602,222.0,112.27557910136932
1.0,29.4,2257.879,2.521807,4.162163,28.0,4.048906,2.527179,224.0,112.21569839051531
1.0,29.4,2255.552,2.513211,4.188299,28.0,4.122958,2.503541,226.0,112.23703527955132
1.0,29.4,2253.306,2.497094,4.04455,28.0,4.018414,2.503541,228.0,112.27173422174177
1.0,29.4,2251.073,2.532552,4.018414,28.0,4.075042,2.49602,230.0,112.18530483634896
1.0,29.4,2248.787,2.492796,4.114246,28.0,4.114246,2.516435,232.0,112.28394865873358
1.0,29.4,2246.502,2.482051,4.114246,28.0,4.101178,2.507839,234.0,112.31128677623772
1.0,29.4,2244.412,2.491722,3.761409,28.0,4.101178,2.49387,236.0,112.2753232633713
1.0,29.4,2242.148,2.508913,4.075042,28.0,4.092466,2.503541,238.0,112.24309498527616
1.0,29.4,2239.898,2.499243,4.048906,28.0,4.175231,2.502466,240.0,112.26508243379288
1.0,29.4,2237.646,2.519658,4.053262,28.0,4.070686,2.508913,242.0,112.21649514313778
1.0,29.4,2235.366,2.499243,4.105534,28.0,3.970499,2.487424,244.0,112.26911736450472
1.0,29.4,2233.073,2.509988,4.127314,28.0,4.118602,2.49387,246.0,112.24227630368247
1.0,29.4,2230.78,2.506764,4.127314,28.0,4.253638,2.491722,248.0,112.2490011882022
1.0,29.4,2228.516,2.516435,4.075042,28.0,4.092466,2.494945,250.0,112.22491586810165
1.0,29.4,2226.332,2.51536,3.931293,28.0,3.974854,2.489573,252.0,112.2234977946268
1.0,29.4,2224.07,2.517509,4.070686,28.0,4.101178,2.49387,254.0,112.22205048252366
1.0,29.4,2221.76,2.494945,4.157807,28.0,4.105534,2.509988,256.0,112.280103779106
1.0,29.4,2219.523,2.490647,4.027126,28.0,4.140383,2.47453,258.0,112.28616348483084
1.0,29.4,2217.228,2.494945,4.131671,28.0,4.114246,2.507839,260.0,112.27897078225756
1.0,29.4,2215.058,2.494945,3.905158,28.0,4.031482,2.492796,262.0,112.2718073183126
1.0,29.4,2212.799,2.522882,4.06633,28.0,4.205722,2.51536,264.0,112.20777472223338
1.0,29.4,2210.528,2.502466,4.08811,28.0,3.996634,2.477753,266.0,112.26010455731684
1.0,29.4,2208.242,2.500317,4.114246,28.0,4.114246,2.494945,268.0,112.26508243379288
1.0,29.4,2205.969,2.482051,4.092466,28.0,3.896446,2.489573,270.0,112.31195926468968
1.0,29.4,2203.715,2.498168,4.057618,28.0,3.979211,2.477753,272.0,112.26961442118662
1.0,29.4,2201.453,2.491722,4.070686,28.0,4.035838,2.479902,274.0,112.28560064123516
1.0,29.4,2199.163,2.491722,4.122958,28.0,3.961787,2.486349,276.0,112.2881005439588
1.0,29.4,2197.032,2.483126,3.835462,28.0,4.035838,2.480977,278.0,112.29924777101596
1.0,29.4,2194.732,2.482051,4.140383,28.0,4.127314,2.470232,280.0,112.31200312263222
1.0,29.4,2192.523,2.492796,3.974854,28.0,4.114246,2.486349,282.0,112.27859068008904
1.0,29.4,2190.235,2.504615,4.118602,28.0,3.979211,2.49602,284.0,112.25555795060896
1.0,29.4,2187.981,2.49602,4.057618,28.0,4.205722,2.482051,286.0,112.27274295441973
1.0,29.4,2185.783,2.475604,3.957429,28.0,4.014058,2.47453,288.0,112.32255826746535
1.0,29.4,2183.502,2.49387,4.105534,28.0,3.974854,2.491722,290.0,112.2816314974371
1.0,29.4,2181.223,2.49602,4.101178,28.0,3.974854,2.490647,292.0,112.27607615805124
1.0,29.4,2178.959,2.487424,4.075042,28.0,4.08811,2.521807,294.0,112.29510319544784
1.0,29.4,2176.717,2.516435,4.035838,28.0,3.974854,2.504615,296.0,112.22357089119768
1.0,29.4,2174.475,2.50569,4.035838,28.0,3.996634,2.478828,298.0,112.24974677322504
1.0,29.4,2172.151,2.513211,4.183942,28.0,3.996634,2.499243,300.0,112.2368232994958
1.0,29.4,2169.945,2.49387,3.970499,28.0,4.053262,2.492796,302.0,112.27583493936736
1.0,29.4,2167.674,2.49602,4.08811,28.0,4.214434,2.534701,304.0,112.2726406192205
1.0,29.4,2165.388,2.476679,4.114246,28.0,4.035838,2.49387,306.0,112.32471461630594
1.0,29.4,2163.071,2.491722,4.170875,28.0,4.083754,2.491722,308.0,112.28836369161392
1.0,29.4,2160.705,2.440146,4.257994,28.0,4.048906,2.504615,310.0,112.42764920740044
1.0,29.4,2158.396,2.480977,4.157807,28.0,4.057618,2.477753,312.0,112.3154094228346
1.0,29.4,2156.26,2.485275,3.844174,28.0,4.070686,2.46486,314.0,112.2934804515746
1.0,29.4,2154.035,2.479902,4.005346,28.0,4.014058,2.489573,316.0,112.31247094068576
1.0,29.4,2151.742,2.520733,4.127314,28.0,4.28413,2.487424,318.0,112.2141341238988
1.0,29.4,2149.483,2.503541,4.06633,28.0,4.397387,2.492796,320.0,112.25223205663453
1.0,29.4,2147.241,2.49602,4.035838,28.0,4.075042,2.509988,322.0,112.27199736939689
1.0,29.4,2144.955,2.499243,4.114246,28.0,4.005346,2.492796,324.0,112.26779431657204
1.0,29.4,2142.718,2.500317,4.027126,28.0,4.179586,2.446594,326.0,112.26118638656568
1.0,29.4,2140.381,2.500317,4.205722,28.0,4.162163,2.475604,328.0,112.26772852965826
1.0,29.4,2138.141,2.492796,4.031482,28.0,3.996634,2.45304,330.0,112.28136104012488
1.0,29.4,2135.849,2.499243,4.127314,28.0,3.974854,2.492796,332.0,112.26845218570983
1.0,29.4,2133.582,2.507839,4.079398,28.0,4.06633,2.422955,334.0,112.24591651291163
1.0,29.4,2131.217,2.4842,4.257994,28.0,4.114246,2.487424,336.0,112.31039499807316
1.0,29.4,2128.95,2.500317,4.079398,28.0,3.987922,2.527179,338.0,112.263152684322
1.0,29.4,2126.713,2.494945,4.027126,28.0,4.114246,2.491722,340.0,112.27405138303824
1.0,29.4,2124.458,2.520733,4.057618,28.0,3.944361,2.461636,342.0,112.21436072326848
1.0,29.4,2122.173,2.503541,4.114246,28.0,4.136027,2.492796,344.0,112.255813788607
1.0,29.4,2119.899,2.458413,4.092466,28.0,4.08811,2.475604,346.0,112.37087510080826
1.0,29.4,2117.606,2.498168,4.127314,28.0,3.948717,2.488498,348.0,112.27114213951774
1.0,29.4,2115.374,2.483126,4.018414,28.0,4.035838,2.492796,350.0,112.3039551901798
1.0,29.4,2113.134,2.49602,4.031482,28.0,4.127314,2.478828,352.0,112.27145645477246
1.0,29.4,2110.819,2.508913,4.166519,28.0,4.136027,2.499243,354.0,112.24449112977972
1.0,29.4,2108.534,2.461636,4.114246,28.0,4.040194,2.491722,356.0,112.363178031896
1.0,29.4,2106.253,2.499243,4.105534,28.0,3.961787,2.500317,358.0,112.26717299571966
1.0,29.4,2103.981,2.509988,4.08811,28.0,4.040194,2.504615,360.0,112.239454776047
1.0,29.4,2101.681,2.504615,4.140383,28.0,4.122958,2.492796,362.0,112.25403023227784
1.0,29.4,2099.432,2.491722,4.048906,28.0,4.122958,2.437998,364.0,112.28334195719538
1.0,29.4,2097.115,2.483126,4.170875,28.0,4.122958,2.492796,366.0,112.30879418317116
1.0,29.4,2094.86,2.520733,4.057618,28.0,4.15345,2.476679,368.0,112.21197777505822
1.0,29.4,2092.548,2.521807,4.162163,28.0,4.719731,2.49602,370.0,112.20856416519874
1.0,29.4,2090.284,2.49602,4.075042,28.0,4.43659,2.489573,372.0,112.27003107164056
1.0,29.4,2088.068,2.511062,3.987922,28.0,4.101178,2.492796,374.0,112.2327152722131
1.0,29.4,2085.86,2.492796,3.974854,28.0,4.018414,2.491722,376.0,112.27781585643784
1.0,29.4,2083.623,2.487424,4.027126,28.0,4.144739,2.4842,378.0,112.29215740364192
1.0,29.4,2081.182,2.499243,4.393031,28.0,4.06633,2.489573,380.0,112.27853220283237
1.0,29.4,2078.896,2.504615,4.114246,28.0,3.970499,2.4842,382.0,112.25412525781996
1.0,29.4,2076.652,2.509988,4.040194,28.0,4.131671,2.511062,384.0,112.2364431973273
1.0,29.4,2074.354,2.494945,4.136027,28.0,3.966143,2.483126,386.0,112.27883920843
1.0,29.4,2071.877,2.49387,4.45837,28.0,4.118602,2.478828,388.0,112.2947377125935
1.0,29.4,2069.577,2.50569,4.140383,28.0,4.070686,2.49602,390.0,112.25134027846994
1.0,29.4,2067.291,2.511062,4.114246,28.0,4.018414,2.499243,392.0,112.23763467143245
1.0,29.4,2064.959,2.465934,4.197011,28.0,4.114246,2.49387,394.0,112.35393862533844
1.0,29.4,2062.698,2.488498,4.070686,28.0,3.996634,2.478828,396.0,112.29212085535649
1.0,29.4,2060.627,2.494945,3.726562,28.0,4.005346,2.494945,398.0,112.26454151916846
1.0,29.4,2058.354,2.511062,4.092466,28.0,3.974854,2.508913,400.0,112.23687446709542
1.0,29.4,2056.17,2.492796,3.931293,28.0,4.057618,2.485275,402.0,112.27571798485398
1.0,29.4,2053.913,2.50569,4.061974,28.0,4.070686,2.487424,404.0,112.24827022249352
1.0,29.4,2051.579,2.504615,4.201366,28.0,4.15345,2.503541,406.0,112.2553678995247
1.0,29.4,2049.271,2.486349,4.15345,28.0,3.974854,2.499243,408.0,112.30042462580693
1.0,29.4,2047.02,2.502466,4.053262,28.0,4.018414,2.502466,410.0,112.25593805277744
1.0,29.4,2044.763,2.498168,4.061974,28.0,4.053262,2.483126,412.0,112.26685137080786
1.0,29.4,2042.502,2.498168,4.070686,28.0,4.10989,2.463785,414.0,112.2669902542925
1.0,29.4,2040.216,2.49387,4.114246,28.0,4.02277,2.520733,416.0,112.27908042711384
1.0,29.4,2037.959,2.497094,4.061974,28.0,4.122958,2.461636,418.0,112.2691831514185
1.0,29.4,2035.713,2.498168,4.04455,28.0,4.092466,2.488498,420.0,112.2656672063598
1.0,29.4,2033.366,2.504615,4.223146,28.0,3.996634,2.49602,422.0,112.25748039042274
1.0,29.4,2031.059,2.490647,4.15345,28.0,4.08811,2.485275,424.0,112.28860491029778
1.0,29.4,2028.788,2.498168,4.08811,28.0,4.048906,2.485275,426.0,112.26761888480196
1.0,29.4,2026.507,2.497094,4.105534,28.0,4.114246,2.489573,428.0,112.2702795999815
1.0,29.4,2024.281,2.502466,4.005346,28.0,4.053262,2.490647,430.0,112.25380363290816
1.0,29.4,2021.974,2.527179,4.15345,28.0,4.053262,2.519658,432.0,112.1994928807542
1.0,29.4,2019.8,2.491722,3.91387,28.0,4.040194,2.4842,434.0,112.27749423152603
1.0,29.4,2017.512,2.508913,4.118602,28.0,3.931293,2.470232,436.0,112.24354087435846
1.0,29.4,2015.303,2.494945,3.974854,28.0,4.08811,2.459487,438.0,112.2714272161441
1.0,29.4,2013.008,2.508913,4.131671,28.0,4.105534,2.49602,440.0,112.24207894294112
1.0,29.4,2010.722,2.49602,4.114246,28.0,4.162163,2.483126,442.0,112.27277950270516
1.0,29.4,2008.454,2.500317,4.083754,28.0,4.005346,2.490647,444.0,112.26213664198696
1.0,29.4,2006.212,2.492796,4.035838,28.0,4.057618,2.492796,446.0,112.27851758351818
1.0,29.4,2003.953,2.486349,4.06633,28.0,4.014058,2.482051,448.0,112.29636776612382
1.0,29.4,2001.684,2.491722,4.083754,28.0,4.162163,2.512137,450.0,112.28171921332212
1.0,29.4,1999.41,2.500317,4.092466,28.0,3.974854,2.489573,452.0,112.26261907935468
1.0,29.4,1997.161,2.488498,4.048906,28.0,4.005346,2.483126,454.0,112.29026420245646
1.0,29.4,1994.89,2.508913,4.08811,28.0,3.983567,2.501392,456.0,112.24109213923442
1.0,29.4,1992.684,2.526105,3.970499,28.0,3.987922,2.512137,458.0,112.19556028524156
1.0,29.4,1990.393,2.517509,4.122958,28.0,4.197011,2.479902,460.0,112.22023037790908
1.0,29.4,1988.132,2.49387,4.070686,28.0,4.092466,2.476679,462.0,112.27684367204532
1.0,29.4,1985.892,2.526105,4.031482,28.0,4.092466,2.534701,464.0,112.19638627649236
1.0,29.4,1983.633,2.492796,4.06633,28.0,4.114246,2.483126,466.0,112.27900733054298
1.0,29.4,1981.301,2.504615,4.197011,28.0,3.983567,2.507839,468.0,112.2555798795802
1.0,29.4,1979.021,2.500317,4.105534,28.0,4.018414,2.49387,470.0,112.26239978964207
1.0,29.4,1977.004,2.494945,3.63073,28.0,4.014058,2.483126,472.0,112.2610109547956
1.0,29.4,1974.718,2.498168,4.114246,28.0,3.948717,2.485275,474.0,112.26871533336497
1.0,29.4,1972.435,2.492796,4.10989,28.0,4.031482,2.506764,476.0,112.2808128158434
1.0,29.4,1970.142,2.500317,4.127314,28.0,4.02277,2.500317,478.0,112.262984562209
1.0,29.4,1967.917,2.50569,4.005346,28.0,4.379962,2.502466,480.0,112.24226168436827
1.0,29.4,1965.708,2.508913,3.974854,28.0,3.966143,2.487424,482.0,112.2369914216088
1.0,29.4,1963.452,2.517509,4.061974,28.0,4.04455,2.507839,484.0,112.21837372500906
1.0,29.4,1961.171,2.450891,4.105534,28.0,3.992279,2.472381,486.0,112.39024569208792
1.0,29.4,1958.948,2.506764,4.00099,28.0,4.048906,2.498168,488.0,112.24216665882616
1.0,29.4,1956.662,2.51536,4.114246,28.0,4.166519,2.506764,490.0,112.22438957279138
1.0,29.4,1954.381,2.527179,4.105534,28.0,4.096822,2.489573,492.0,112.19683216557463
1.0,29.4,1952.062,2.500317,4.175231,28.0,4.083754,2.492796,494.0,112.264249132885
1.0,29.4,1949.776,2.460562,4.114246,28.0,4.075042,2.480977,496.0,112.36371163686331
1.0,29.4,1947.524,2.498168,4.053262,28.0,4.057618,2.500317,498.0,112.26487045373736
1.0,29.4,1945.372,2.458413,3.874666,28.0,4.035838,2.486349,500.0,112.36110208928338
1.0,29.4,1943.188,2.499243,3.931293,28.0,4.162163,2.491722,502.0,112.2571806944822
1.0,29.4,1940.992,2.49387,3.953074,28.0,4.15345,2.487424,504.0,112.27133219060198
1.0,29.4,1938.728,2.523956,4.075042,28.0,4.118602,2.513211,506.0,112.2025044594739
1.0,29.4,1936.147,2.497094,4.645678,28.0,4.105534,2.489573,508.0,112.29477426087894
1.0,29.4,1933.776,2.507839,4.266706,28.0,4.114246,2.494945,510.0,112.24912545237268
1.0,29.4,1931.486,2.491722,4.122958,28.0,4.162163,2.463785,512.0,112.28306419022609
1.0,29.4,1929.207,2.529329,4.101178,28.0,4.114246,2.516435,514.0,112.19072860190728
1.0,29.4,1926.943,2.49602,4.075042,28.0,4.114246,2.492796,516.0,112.27035269655237
1.0,29.4,1924.663,2.542222,4.105534,28.0,4.58905,2.492796,518.0,112.15772550016096
1.0,29.4,1922.418,2.52503,4.040194,28.0,3.970499,2.490647,520.0,112.20006303400694
1.0,29.4,1920.12,2.499243,4.136027,28.0,4.035838,2.444444,522.0,112.2661130954421
1.0,29.4,1917.885,2.491722,4.02277,28.0,3.818038,2.480977,524.0,112.28178500023591
1.0,29.4,1915.68,2.49387,3.970499,28.0,4.253638,2.490647,526.0,112.27070356009251
1.0,29.4,1913.447,2.504615,4.018414,28.0,4.092466,2.492796,528.0,112.24711529667384
1.0,29.4,1911.161,2.516435,4.114246,28.0,4.075042,2.502466,530.0,112.2220212438953
1.0,29.4,1908.849,2.513211,4.162163,28.0,4.231858,2.460562,532.0,112.23100481245484
1.0,29.4,1906.59,2.386422,4.06633,28.0,4.040194,2.385348,534.0,112.573264886224
1.0,29.4,1904.292,2.583052,4.136027,28.0,3.857242,2.566935,536.0,112.07340129600912
1.0,29.4,1902.009,2.534701,4.10989,28.0,3.726562,2.527179,538.0,112.18124797666586
1.0,29.4,1899.801,2.550818,3.974854,28.0,4.114246,2.561563,540.0,112.13585500615764
1.0,29.4,1897.515,2.526105,4.114246,28.0,3.796258,2.511062,542.0,112.20109369565616
1.0,29.4,1895.281,2.504615,4.02277,28.0,4.105534,2.527179,544.0,112.24634778267976
1.0,29.4,1893.036,2.49602,4.040194,28.0,3.983567,2.489573,546.0,112.2697825432996
1.0,29.4,1890.791,2.468083,4.040194,28.0,4.009702,2.457338,548.0,112.34123444132182
1.0,29.4,1888.518,2.494945,4.092466,28.0,3.987922,2.482051,550.0,112.27442417554964
1.0,29.4,1886.268,2.458413,4.048906,28.0,3.948717,2.450891,552.0,112.36764423237597
1.0,29.4,1884.016,2.494945,4.053262,28.0,3.974854,2.485275,554.0,112.27295493447522
1.0,29.4,1881.709,2.485275,4.15345,28.0,4.040194,2.487424,556.0,112.30047579340652
1.0,29.4,1879.394,2.506764,4.166519,28.0,4.114246,2.489573,558.0,112.24689600696124
1.0,29.4,1877.15,2.492796,4.040194,28.0,4.048906,2.478828,560.0,112.27721646455676
1.0,29.4,1874.857,2.492796,4.127314,28.0,4.136027,2.487424,562.0,112.279599412767
1.0,29.4,1872.653,2.469157,3.966143,28.0,4.092466,2.468083,564.0,112.33464844028671
1.0,29.4,1870.423,2.448742,4.014058,28.0,4.04455,2.475604,566.0,112.39083046465488
1.0,29.4,1868.133,2.49602,4.122958,28.0,4.048906,2.492796,568.0,112.27194620179726
1.0,29.4,1865.588,2.483126,4.580338,28.0,4.114246,2.477753,570.0,112.32558446549923
1.0,29.4,1861.984,1.056215,6.488268,28.0,6.562321,1.046545,572.0,123.07309754420118
1.0,29.4,1859.693,2.502466,4.122958,28.0,4.144739,2.461636,574.0,112.255645666494
1.0,29.4,1856.144,1.192674,6.388081,28.0,6.414217,1.199121,576.0,121.74809793307168
